Subject,Content,IsSpam
"Congratulations! You've won $1,000,000!","Dear Lucky Winner, Congratulations! You have been selected as the winner of our international lottery. You've won $1,000,000! To claim your prize, please reply with your full name, address, phone number and bank details.",true
"Meeting tomorrow at 10 AM","Hi team, Just a reminder that we have our weekly project status meeting tomorrow at 10 AM in Conference Room B. Please bring your status reports and be prepared to discuss the timeline updates. Thanks, Sarah",false
"URGENT: Your account has been suspended","Dear Customer, We have detected unusual activity on your account. Your account has been temporarily suspended. To restore access, please verify your identity by clicking the link below and entering your username, password, and credit card information.",true
"Quarterly report draft for review","Hello John, I've attached the draft of our quarterly report for your review. Please let me know if you have any feedback or suggestions for improvement before I submit the final version to management. Regards, Emily",false
"MAKE MONEY FAST FROM HOME!!!","AMAZING OPPORTUNITY!!! Work just 2 HOURS a day from your HOME and earn $5000 per WEEK!!! No experience needed!!! 100% GUARANTEED!!! Click here to start NOW!!!",true
"Updated project timeline","Hi team, I've updated our project timeline based on the feedback from yesterday's meeting. The new deadlines for each milestone are reflected in the attached document. Please review and let me know if you have any concerns. Best regards, Michael",false
"Your Package Delivery Notification","Dear Customer, Your package could not be delivered due to incorrect address information. To schedule a new delivery, please confirm your details by following this link and entering your personal and payment information.",true
"Lunch next Wednesday?","Hey Alex, Are you free for lunch next Wednesday? I'll be in your area for a meeting and thought it would be nice to catch up. Let me know what works for you. Cheers, Jamie",false
"Exclusive Offer Just For You - 90% OFF","**EXCLUSIVE VIP OFFER** Dear Valued Customer, For a LIMITED TIME ONLY, get 90% OFF on ALL LUXURY WATCHES!!! These authentic Rolex, Omega, and Tag Heuer watches are available at UNBELIEVABLE prices!!! Stock is LIMITED so ACT NOW!!!",true
"Notes from yesterday's client meeting","Hi team, Attached are the notes from yesterday's meeting with the client. They've requested some changes to the initial design, which I've highlighted in the document. Let's discuss how to implement these changes during our team meeting tomorrow. Thanks, David",false
"You have received a payment of $500","Congratulations! You have received a PayPal transfer of $500.00! To access your funds, click the link below and verify your account by entering your login credentials and updating your banking information.",true
"Reminder: Performance reviews next week","Dear colleagues, This is a reminder that annual performance reviews will be conducted next week. Please complete your self-assessment form and submit it to HR by Friday. If you have any questions, feel free to contact me. Best regards, Linda from HR",false
"FINAL NOTICE - Act now or face consequences!","*** URGENT FINAL NOTICE *** Your car warranty is about to expire!!! This is your LAST CHANCE to extend your coverage before it's TOO LATE! Call NOW to avoid costly repairs and FINANCIAL DISASTER!!!",true
"Flight confirmation for next week","Dear Mr. Johnson, This email confirms your flight reservation for next Tuesday. Flight details: AA1234, departing New York (JFK) at 10:15 AM, arriving in San Francisco (SFO) at 1:45 PM. Please check in online 24 hours before departure. Thank you for choosing our airline.",false
"Increase your manhood size now!","AMAZING new pill discovered by doctors! Increase your SIZE by 5 inches in just 7 days!!! Women will be AMAZED!!! 100% natural ingredients, no side effects!!! Order now and get 50% discount!!!",true
"Budget approval for Q3","Hi Mark, The executive committee has approved our budget proposal for Q3. We can proceed with the planned marketing campaigns and new hires as discussed. I'll share the detailed allocation spreadsheet in our department meeting on Monday. Regards, Jennifer",false
"Verify your bank account information immediately","IMPORTANT NOTICE from Bank of America: Your account access has been limited due to failure to verify your information. To restore full access to your account, please verify your identity IMMEDIATELY by confirming your account details and Social Security Number.",true
"Feedback on your presentation","Hi Jessica, I wanted to let you know that your presentation yesterday was excellent. The data was well-presented, and your analysis provided valuable insights for our strategy moving forward. The management team was particularly impressed with your recommendations. Keep up the great work! Best, Robert",false
"RE: Inheritance Claim ($15.5 million)","CONFIDENTIAL BUSINESS PROPOSAL. I am Mr. George Williams, attorney at law. I represent the estate of a deceased client who shares your last name and has left an inheritance of $15.5 million. To claim this inheritance, please send me your personal details and a small processing fee of $1,000.",true
"Office closed for holiday - July 4th","Dear employees, Please note that our office will be closed on Monday, July 4th in observance of Independence Day. Normal operations will resume on Tuesday, July 5th. If you need emergency assistance during this time, please contact our on-call support team at 555-123-4567. Have a safe and enjoyable holiday weekend. HR Department",false
"WINNER - International Lottery Commission","CONGRATULATIONS!!! Your email address has won the INTERNATIONAL LOTTERY COMMISSION grand prize of £2,500,000.00!!! To claim your winnings, send your FULL NAME, ADDRESS, PHONE NUMBER, and a PROCESSING FEE of £99 to the address below!!!",true
"Schedule for next week's conference","Dear Speakers, Attached is the final schedule for next week's industry conference. Your presentation is scheduled for Thursday at 2:30 PM in Room 305. Please arrive 30 minutes early to set up and test your presentation. Let me know if you have any questions or special requirements. Thank you for your participation. Conference Organizing Committee",false
"URGENT: Nigerian business opportunity","STRICTLY CONFIDENTIAL! I am Prince Adebayo from Nigeria with a business opportunity worth $25,000,000. I need your assistance to transfer these funds to your country, for which you will receive 30% commission. Please send your bank details and a small fee of $500 to initiate the process.",true
"Project status update - Week 23","Team, Here's a summary of our progress for Week 23: - Backend development: 85% complete - Frontend integration: 70% complete - QA testing: Started for completed modules - Documentation: In progress We're slightly behind schedule on the frontend work, but we're implementing additional resources to catch up before the end of the month. Next steps and action items are in the attached report. Regards, Project Manager",false
"Your Credit Score has dropped by 100 points!","*** URGENT CREDIT ALERT *** Your credit score has DROPPED by 100 points!!! Act NOW to prevent further damage!!! Click here to verify your identity and fix your credit score IMMEDIATELY!!! Limited time offer: Credit repair service only $299.99!!!",true
